date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:37	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202018%2007:21:37%20GMT	http://www.dispertapa-kotabandung.com/robots.txt		(from )
14:21:38	51692/51692	---MC-	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202018%2007:21:37%20GMT	http://www.dispertapa-kotabandung.com/	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/index.html	(from )
14:21:38	3946/3946	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jul%202015%2015:29:43%20GMT	http://www.dispertapa-kotabandung.com/css/images/favicon.png	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/css/images/favicon.png	(from http://www.dispertapa-kotabandung.com/)
14:21:39	43927/43927	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202016%2016:49:50%20GMT	http://www.dispertapa-kotabandung.com/css/style.css	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/css/style.css	(from http://www.dispertapa-kotabandung.com/)
14:21:40	8902/8902	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Jul%202015%2015:33:01%20GMT	http://www.dispertapa-kotabandung.com/js/fancybox/jquery.fancybox-1.3.2.css	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/fancybox/jquery.fancybox-1.3.2.css	(from http://www.dispertapa-kotabandung.com/)
14:21:42	8511/8511	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:32:51%20GMT	http://www.dispertapa-kotabandung.com/js/jquery.tweet.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/jquery.tweet.js	(from http://www.dispertapa-kotabandung.com/)
14:21:42	340/340	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202018%2007:21:42%20GMT	http://www.dispertapa-kotabandung.com/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/jquery.easing.1.3.js	(from http://www.dispertapa-kotabandung.com/)
14:21:47	28743/28743	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:33:02%20GMT	http://www.dispertapa-kotabandung.com/js/fancybox/jquery.fancybox-1.3.2.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/fancybox/jquery.fancybox-1.3.2.js	(from http://www.dispertapa-kotabandung.com/)
14:21:48	1157/1157	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:33:02%20GMT	http://www.dispertapa-kotabandung.com/js/fancybox/jquery.mousewheel-3.0.2.pack.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/fancybox/jquery.mousewheel-3.0.2.pack.js	(from http://www.dispertapa-kotabandung.com/)
14:21:49	1633/1633	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:32:14%20GMT	http://www.dispertapa-kotabandung.com/js/easySlider1.5.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/easySlider1.5.js	(from http://www.dispertapa-kotabandung.com/)
14:21:49	339/339	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202018%2007:21:49%20GMT	http://www.dispertapa-kotabandung.com/js/jquery.jcarousel.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/jquery.jcarousel.js	(from http://www.dispertapa-kotabandung.com/)
14:21:51	8611/8611	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202017%2018:15:43%20GMT	http://www.dispertapa-kotabandung.com/js/functions.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/functions.js	(from http://www.dispertapa-kotabandung.com/)
14:21:52	7543/7543	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:47:02%20GMT	http://www.dispertapa-kotabandung.com/includes/jquery.cycle.lite.js?a7e48c13d41697ce948b9c120fc51837	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/includes/jquery.cycle.lite2ec3.js	(from http://www.dispertapa-kotabandung.com/)
14:21:55	14629/14629	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20Jul%202015%2015:32:17%20GMT	http://www.dispertapa-kotabandung.com/js/jcarousellite_1.0.1c4.js	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/js/jcarousellite_1.0.1c4.js	(from http://www.dispertapa-kotabandung.com/)
14:21:55	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jan%202018%2007:21:55%20GMT	http://www.dispertapa-kotabandung.com/index.html	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/index-2.html	(from http://www.dispertapa-kotabandung.com/)
14:21:58	51752/51752	---MC-	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202018%2007:21:55%20GMT	http://www.dispertapa-kotabandung.com/index.php?page=Home&modul=Home&lang=ind	C:/My%20Web%20Sites/kp/www.dispertapa-kotabandung.com/index49c9.html	(from http://www.dispertapa-kotabandung.com/)
